z_lookback,z_entry_short,z_entry_long,z_exit,z_stop,slope_lookback,max_hold_days,slope_confirmation,avg_return,median_return,avg_sharpe,median_sharpe,min_return,max_return,avg_max_dd,worst_dd,total_trades,avg_trades_per_window,avg_win_rate,pct_windows_profitable,n_windows
10,0.5,1.0,0.3,2.0,5,7,False,23.567777777777778,23.085,1.760189814814815,1.824,-117.62,132.55,-19.649351851851854,-200.58,6201,28.708333333333332,53.36712962962962,84.72222222222221,216
10,0.5,1.0,0.3,2.0,3,7,False,23.567777777777778,23.085,1.760189814814815,1.824,-117.62,132.55,-19.649351851851854,-200.58,6201,28.708333333333332,53.36712962962962,84.72222222222221,216
10,0.5,1.0,0.3,2.0,2,7,False,23.567777777777778,23.085,1.760189814814815,1.824,-117.62,132.55,-19.649351851851854,-200.58,6201,28.708333333333332,53.36712962962962,84.72222222222221,216
10,0.3,1.0,-0.3,1.5,5,7,False,23.549212962962965,21.87,1.7552916666666665,1.766,-59.66,132.54,-19.674722222222222,-155.2,7924,36.68518518518518,45.08842592592592,84.72222222222221,216
10,0.3,1.0,-0.3,1.5,2,7,False,23.549212962962965,21.87,1.7552916666666665,1.766,-59.66,132.54,-19.674722222222222,-155.2,7924,36.68518518518518,45.08842592592592,84.72222222222221,216
10,0.3,1.0,-0.3,1.5,3,7,False,23.549212962962965,21.87,1.7552916666666665,1.766,-59.66,132.54,-19.674722222222222,-155.2,7924,36.68518518518518,45.08842592592592,84.72222222222221,216
10,0.5,1.0,-0.3,1.5,5,5,False,23.519305555555555,21.924999999999997,1.7603518518518517,1.72,-46.54,116.16,-18.71388888888889,-124.14,8065,37.33796296296296,47.7337962962963,85.18518518518519,216
10,0.5,1.0,-0.3,1.5,2,5,False,23.519305555555555,21.924999999999997,1.7603518518518517,1.72,-46.54,116.16,-18.71388888888889,-124.14,8065,37.33796296296296,47.7337962962963,85.18518518518519,216
10,0.5,1.0,-0.3,1.5,3,5,False,23.519305555555555,21.924999999999997,1.7603518518518517,1.72,-46.54,116.16,-18.71388888888889,-124.14,8065,37.33796296296296,47.7337962962963,85.18518518518519,216
10,0.3,1.0,-0.3,2.0,3,7,False,23.511018518518515,22.53,1.6663101851851851,1.773,-98.25,124.02,-20.813333333333336,-197.88,6187,28.64351851851852,49.37638888888888,81.01851851851852,216
